Index,Store Name,Place ID,Address,Category,Phone,Google URL,Business Website,Rating
2,DigiMed India Healthcare Digital Marketing,ChIJtYDojtIFDTkRXUeCf8gijME,"G -144, Budh Bazar Rd, near Balaji MedicalOpen 24 hours",DigiMed India Healthcare Digital Marketing  5.0(30)Marketing agency,099530 88708,https://www.google.com/maps/place/DigiMed+India+Healthcare+Digital+Marketing/data=!4m7!3m6!1s0x390d05d28ee880b5:0xc18c22c87f82475d!8m2!3d28.6644405!4d77.0474107!16s%2Fg%2F11qzrw61t2!19sChIJtYDojtIFDTkRXUeCf8gijME?authuser=0&hl=en&rclk=1,https://digimedhealthcare.in/,5.0 stars 30 Reviews
8,HDM | Lead Generation Company by Google Ads & Facebook Ads in Delhi,ChIJ5dno6QcFDTkRBWq_6LjZZCo,"H. No. 26/27, Street No-5, Vikas Kunj Vikas NagarClosed ⋅ Opens 10 am",HDM | Lead Generation Company by Google Ads & Facebook Ads in Delhi  5.0(22)Internet marketing service,088029 91128,https://www.google.com/maps/place/HDM+%7C+Lead+Generation+Company+by+Google+Ads+%26+Facebook+Ads+in+Delhi/data=!4m7!3m6!1s0x390d0507e9e8d9e5:0x2a64d9b8e8bf6a05!8m2!3d28.6450067!4d77.0333839!16s%2Fg%2F11gxwpl3sy!19sChIJ5dno6QcFDTkRBWq_6LjZZCo?authuser=0&hl=en&rclk=1,https://www.hostdigitalmarketing.com/,5.0 stars 22 Reviews
5,Insightsbot Marketing | Best Digital Marketing Agency in Delhi,ChIJzfVEbyYDDTkRJxcvgi8B1rI,"Third Floor, 18-19, 18-19Closed ⋅ Opens 10 am",Insightsbot Marketing | Best Digital Marketing Agency in Delhi  4.9(57)Internet marketing service,089209 58955,https://www.google.com/maps/place/Insightsbot+Marketing+%7C+Best+Digital+Marketing+Agency+in+Delhi/data=!4m7!3m6!1s0x390d03266f44f5cd:0xb2d6012f822f1727!8m2!3d28.6474993!4d77.0533094!16s%2Fg%2F11svmltlx3!19sChIJzfVEbyYDDTkRJxcvgi8B1rI?authuser=0&hl=en&rclk=1,https://www.insightsbot.net/,4.9 stars 57 Reviews
1,"Mahira Digital Marketing Agency in Delhi, India",ChIJc-2zo8XjDDkRmTEQIlTqPIo,,"Mahira Digital Marketing Agency in Delhi, India  4.9(242)Internet marketing service","UG 17, Kirti Shikhar TowerOpen 24 hours","https://www.google.com/maps/place/Mahira+Digital+Marketing+Agency+in+Delhi,+India/data=!4m7!3m6!1s0x390ce3c5a3b3ed73:0x8a3cea5422103199!8m2!3d28.6291361!4d77.0806232!16s%2Fg%2F11j3w67h4v!19sChIJc-2zo8XjDDkRmTEQIlTqPIo?authuser=0&hl=en&rclk=1",https://www.mahiradigital.com/,4.9 stars 242 Reviews
3,"𝗙𝗼𝗹𝗸𝘀𝘆 𝗗𝗶𝗴𝗶𝘁𝗮𝗹 | 𝗔𝘄𝗮𝗿𝗱𝗲𝗱 𝗕𝗲𝘀𝘁 𝗦𝗘𝗢, 𝗗𝗶𝗴𝗶𝘁𝗮𝗹 𝗠𝗮𝗿𝗸𝗲𝘁𝗶𝗻𝗴 & 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 𝗗𝗲𝘀𝗶𝗴𝗻𝗶𝗻𝗴 𝗖𝗼𝗺𝗽𝗮𝗻𝘆 𝗶𝗻 𝗗𝗲𝗹𝗵𝗶 𝗜𝗻𝗱𝗶𝗮",ChIJxdIyh2APDTkRiTeJKJ99Xrs,,"𝗙𝗼𝗹𝗸𝘀𝘆 𝗗𝗶𝗴𝗶𝘁𝗮𝗹 | 𝗔𝘄𝗮𝗿𝗱𝗲𝗱 𝗕𝗲𝘀𝘁 𝗦𝗘𝗢, 𝗗𝗶𝗴𝗶𝘁𝗮𝗹 𝗠𝗮𝗿𝗸𝗲𝘁𝗶𝗻𝗴 & 𝗪𝗲𝗯𝘀𝗶𝘁𝗲 𝗗𝗲𝘀𝗶𝗴𝗻𝗶𝗻𝗴 𝗖𝗼𝗺𝗽𝗮𝗻𝘆 𝗶𝗻 𝗗𝗲𝗹𝗵𝗶 𝗜𝗻𝗱𝗶𝗮  4.9(210)Internet marketing service","544 site, 1Closed ⋅ Opens 9:30 am","https://www.google.com/maps/place/%F0%9D%97%99%F0%9D%97%BC%F0%9D%97%B9%F0%9D%97%B8%F0%9D%98%80%F0%9D%98%86+%F0%9D%97%97%F0%9D%97%B6%F0%9D%97%B4%F0%9D%97%B6%F0%9D%98%81%F0%9D%97%AE%F0%9D%97%B9+%7C+%F0%9D%97%94%F0%9D%98%84%F0%9D%97%AE%F0%9D%97%BF%F0%9D%97%B1%F0%9D%97%B2%F0%9D%97%B1+%F0%9D%97%95%F0%9D%97%B2%F0%9D%98%80%F0%9D%98%81+%F0%9D%97%A6%F0%9D%97%98%F0%9D%97%A2,+%F0%9D%97%97%F0%9D%97%B6%F0%9D%97%B4%F0%9D%97%B6%F0%9D%98%81%F0%9D%97%AE%F0%9D%97%B9+%F0%9D%97%A0%F0%9D%97%AE%F0%9D%97%BF%F0%9D%97%B8%F0%9D%97%B2%F0%9D%98%81%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4+%26+%F0%9D%97%AA%F0%9D%97%B2%F0%9D%97%AF%F0%9D%98%80%F0%9D%97%B6%F0%9D%98%81%F0%9D%97%B2+%F0%9D%97%97%F0%9D%97%B2%F0%9D%98%80%F0%9D%97%B6%F0%9D%97%B4%F0%9D%97%BB%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4+%F0%9D%97%96%F0%9D%97%BC%F0%9D%97%BA%F0%9D%97%BD%F0%9D%97%AE%F0%9D%97%BB%F0%9D%98%86+%F0%9D%97%B6%F0%9D%97%BB+%F0%9D%97%97%F0%9D%97%B2%F0%9D%97%B9%F0%9D%97%B5%F0%9D%97%B6+%F0%9D%97%9C%F0%9D%97%BB%F0%9D%97%B1%F0%9D%97%B6%F0%9D%97%AE/data=!4m7!3m6!1s0x390d0f608732d2c5:0xbb5e7d9f28893789!8m2!3d28.6272017!4d77.0705062!16s%2Fg%2F11mvp8pqdg!19sChIJxdIyh2APDTkRiTeJKJ99Xrs?authuser=0&hl=en&rclk=1",https://www.folksydigital.com/,4.9 stars 210 Reviews
10,JSM Digital Marketing,ChIJVz7ZMtIFDTkRgVGK4zsnNkc,"Office No - 12, Taneja Complex, Metro Station Nangloi, NangloiClosed ⋅ Opens 9 am",JSM Digital Marketing  4.8(77)Internet marketing service,095993 39559,https://www.google.com/maps/place/JSM+Digital+Marketing/data=!4m7!3m6!1s0x390d05d232d93e57:0x4736273be38a5181!8m2!3d28.6816489!4d77.0641901!16s%2Fg%2F11h1qlckk9!19sChIJVz7ZMtIFDTkRgVGK4zsnNkc?authuser=0&hl=en&rclk=1,https://jsmdigitalmarketing.com/,4.8 stars 77 Reviews
6,"Digital Gyata - Best Digital Marketing, SEO, Website Development Agency in Nangloi | Paschim Vihar, Delhi",ChIJI7XycVIEDTkRzp5--OP3yps,"G-114, near Sanatan Dharm MandirClosed ⋅ Opens 9 am","Digital Gyata - Best Digital Marketing, SEO, Website Development Agency in Nangloi | Paschim Vihar, Delhi  4.8(60)Internet marketing service",079828 41737,"https://www.google.com/maps/place/Digital+Gyata+-+Best+Digital+Marketing,+SEO,+Website+Development+Agency+in+Nangloi+%7C+Paschim+Vihar,+Delhi/data=!4m7!3m6!1s0x390d045271f2b523:0x9bcaf7e3f87e9ece!8m2!3d28.664982!4d77.060364!16s%2Fg%2F11w4rk3nbn!19sChIJI7XycVIEDTkRzp5--OP3yps?authuser=0&hl=en&rclk=1",http://digitalgyata.in/,4.8 stars 60 Reviews
4,Webquick India Pvt Ltd - Digital Marketing Service in Delhi/ Seo Services Delhi/ Ecommerce Web Designing Near Me/ PPC Service,ChIJ4zG2VikDDTkRL73i42WGdtU,"106/138, First Floor, Office Front SideOpen 24 hours",Webquick India Pvt Ltd - Digital Marketing Service in Delhi/ Seo Services Delhi/ Ecommerce Web Designing Near Me/ PPC Service  4.8(447)Marketing agency,092056 58119,https://www.google.com/maps/place/Webquick+India+Pvt+Ltd+-+Digital+Marketing+Service+in+Delhi%2F+Seo+Services+Delhi%2F+Ecommerce+Web+Designing+Near+Me%2F+PPC+Service/data=!4m7!3m6!1s0x390d032956b631e3:0xd5768665e3e2bd2f!8m2!3d28.6404405!4d77.1134353!16s%2Fg%2F11shjr99y1!19sChIJ4zG2VikDDTkRL73i42WGdtU?authuser=0&hl=en&rclk=1,https://webquickindia.com/,4.8 stars 447 Reviews
7,Digital Echo - IT Solution & Advertising Company,ChIJ-7Xeb1AFDTkRXCppSxPUSRs,,Digital Echo - IT Solution & Advertising Company  4.8(25)Internet marketing service,"B, Shiv ram Park, 17, Najafgarh Rd, opp. parshuram mandirClosed ⋅ Opens 10 am",https://www.google.com/maps/place/Digital+Echo+-+IT+Solution+%26+Advertising+Company/data=!4m7!3m6!1s0x390d05506fdeb5fb:0x1b49d4134b692a5c!8m2!3d28.6657104!4d77.0540195!16s%2Fg%2F11q4gcnb31!19sChIJ-7Xeb1AFDTkRXCppSxPUSRs?authuser=0&hl=en&rclk=1,http://digitalecho.in/,4.8 stars 25 Reviews
9,Digital Market Tap - India's Leading Digital Marketing Agency,ChIJzXh3YTcFDTkRESMbPTp4bHY,072909 69680,Digital Market Tap - India's Leading Digital Marketing Agency  4.8(20)Internet marketing serviceClosed ⋅ Opens 10 am,N/A,https://www.google.com/maps/place/Digital+Market+Tap+-+India%27s+Leading+Digital+Marketing+Agency/data=!4m7!3m6!1s0x390d0537617778cd:0x766c783a3d1b2311!8m2!3d40.266869!4d-47.8023207!16s%2Fg%2F11mgq84k_y!19sChIJzXh3YTcFDTkRESMbPTp4bHY?authuser=0&hl=en&rclk=1,https://www.digitalmarkettap.com/,4.8 stars 20 Reviews
